,nav
20220715,88443774.8485253
20220718,91244817.1658903
20220719,92234843.57123023
20220720,92836373.10594784
20220721,92428368.43209556
20220722,92351732.71670485
20220725,91514406.5917577
20220726,92437580.1406385
20220727,93227649.64177686
20220728,93936732.76902807
20220729,93964090.87224983
20220801,94363940.8506047
20220802,91407763.75022066
20220803,90625247.787159
20220804,91765785.61582342
20220805,92740135.57160889
20220808,94135483.9492543
20220809,94371688.72518085
20220810,95291168.06420764
20220811,96098873.98617405
20220812,95260231.25079508
20220815,95616439.005077
20220816,96181532.89983901
20220817,96420661.79062428
20220818,96835346.79587549
20220819,95681895.85197589
20220822,96094629.62985785
20220823,96348919.07000785
20220824,93462216.59794116
20220825,93391582.98326263
20220826,92938110.61746489
20220829,93738437.39785983
20220830,93253362.10233307
20220831,90861055.888258
20220901,90314587.0061498
20220902,91281345.15313518
20220905,91750051.05990025
20220906,92957726.51677425
20220907,93554304.27656062
20220908,92833508.33045088
20220909,93146875.07062876
20220913,93574586.11148497
20220914,92743325.27631322
20220915,90887607.60707201
20220916,88750860.31780232
20220919,87757712.89629234
20220920,89041046.3621071
20220921,89603606.5920515
20220922,89523068.1662936
20220923,88273493.51828939
20220926,86130819.98913603
20220927,87563139.8214171
20220928,85326937.53753279
20220929,85078687.6081364
20220930,84367536.82074231
20221010,83434162.35548203
20221011,83760327.97004764
20221012,85255657.966608
20221013,85562848.80225389
20221014,86893769.04608749
20221017,87737957.53632975
20221018,87753079.9548184
20221019,87219082.8273486
20221020,86623616.79238382
20221021,86480228.60671055
20221024,85168663.52391802
20221025,84905066.17117752
20221026,86088235.3521586
20221027,86280078.1677228
20221028,83076770.52360661
20221031,83303801.56447974
20221101,84840715.5748721
20221102,85728352.10900262
20221103,85598172.5095879
20221104,86933088.41318624
20221107,87368961.22448054
20221108,87210191.07584324
20221109,86800443.17185524
20221110,86471414.98372392
20221111,87054387.41187368
20221114,87127928.8399871
20221115,88948335.68962604
20221116,88739325.3692141
20221117,89214468.30277655
20221118,88544790.53262438
20221121,88835010.99761437
20221122,88800607.77786146
20221123,88135410.28739406
20221124,88195340.21606188
20221125,88199147.06500603
20221128,87470209.33968796
20221129,88976254.59556009
20221130,89079260.25967501
20221201,89441394.83076955
20221202,89791809.6432915
20221205,90857218.13600709
20221206,90572598.94892463
20221207,90576738.67588568
20221208,90268213.32688265
20221209,90501276.72098006
20221212,89563231.35122256
20221213,88978473.87327984
20221214,88483338.44254726
20221215,88529422.74760707
20221216,87914532.3133453
20221219,86215392.60312657
20221220,85658035.8177283
20221221,85354500.98717715
20221222,84247906.24513322
20221223,83935953.26236068
20221226,84643070.9216597
20221227,85319321.11374149
20221228,84728986.08241674
20221229,84294162.20061599
20221230,84769671.72222924
20230103,86127157.15268661
20230104,86496678.8996801
20230105,86921760.46490076
20230106,87048363.01324914
20230109,87952202.69192895
20230110,88147532.04379725
20230111,88022178.40780978
20230112,88372674.87793781
20230113,88844806.21863748
20230116,89534663.84087533
20230117,89358050.78581335
20230118,90011220.93888792
20230119,90398361.51282465
20230120,91594997.4836944
20230130,92266654.42759725
20230131,92648554.55386943
20230201,94213695.70589526
20230202,94039680.46762095
20230203,93874565.5919165
20230206,93456157.72415571
20230207,94763369.37029882
20230208,94409970.77302065
20230209,95780212.11860438
20230210,95518187.63580582
20230213,96296380.80536526
20230214,96585551.11536735
20230215,96564405.79459108
20230216,94522842.27297303
20230217,93764073.32076354
20230220,96161803.2328947
20230221,96843821.18190436
20230222,96725391.96063858
20230223,96411447.58742946
20230224,96270124.15814164
20230227,95623834.56298718
20230228,96670893.96354017
20230301,98083123.28355469
20230302,98346110.44446422
20230303,98127473.89984241
20230306,97871627.31153025
20230307,96176430.52960554
20230308,97265715.54724163
20230309,97225273.2380164
20230310,95680462.0791526
20230313,97107598.77698742
20230314,96365641.97947915
20230315,96557410.5572949
20230316,95144083.66002169
20230317,96844888.70696998
20230320,96618736.65055677
20230321,97699874.54336295
20230322,99052604.27801166
20230323,100248974.37118118
20230324,100316655.45545152
20230327,100342865.04670636
20230328,99904480.71776086
20230329,100027648.95798872
20230330,99237641.21524371
20230331,100608564.30878076
20230403,102789297.52558114
20230404,102710462.45676762
20230406,103738911.35808536
20230407,104249667.76778094
20230410,103331314.57854494
20230411,103973894.63403009
20230412,106335142.94119127
20230413,104298430.53835
20230414,104996392.61168663
20230417,105059030.25004737
20230418,106596956.49465626
20230419,107198052.49571238
20230420,109042085.87749869
20230421,105948852.70462364
20230424,106637916.60395691
20230425,104372692.89938106
20230426,103451868.8227514
20230427,101960833.54788688
20230428,105714095.52345876
20230504,105920651.2071065
20230505,105578959.59102084
20230508,107532453.19774823
20230509,105887721.81018001
20230510,105279003.06343375
20230511,105077339.93794884
20230512,104312450.51554093
20230515,105304173.59723099
20230516,104406536.27865402
20230517,104742452.75282425
20230518,106102573.84663066
20230519,105468408.43204041
20230522,105482664.93058485
20230523,103925726.33921753
20230524,103630103.0941075
20230525,104190104.84404516
20230526,104682751.80091305
20230529,105215930.79099822
20230530,106298056.16166951
20230531,105752422.16950142
20230601,105797258.895509
20230602,106275586.3052837
20230605,106901575.97705151
20230606,105427993.21104103
20230607,105807688.4486527
20230608,105695029.84556168
20230609,106504788.99737866
20230612,106922394.74812146
20230613,107192167.41568138
20230614,107155748.74644585
20230615,107569905.50607547
20230616,108055633.25395596
20230619,107259667.5452896
20230620,106762285.30639525
20230621,105346832.06184867
20230626,103515746.71973753
20230627,105373386.68329068
20230628,105478207.76944517
20230629,106177365.57880606
20230630,107049943.58086511
20230703,107389527.87911418
20230704,107627486.52374116
20230705,106994239.1058837
20230706,106743106.28053494
20230707,106704287.88723947
20230710,106901570.58411765
20230711,107692437.75663693
20230712,106936264.33639024
20230713,108171234.47093728
20230714,108156913.14872608
20230717,107843322.59312281
20230718,107716408.80500081
20230719,108067076.84994137
20230720,107090527.76325649
