,nav
20220818,99240444.75666718
20220819,96908149.92225258
20220822,97234777.26655313
20220823,98192798.22994915
20220824,94180689.7647791
20220825,92950126.79015535
20220826,92349082.05400725
20220829,93257422.00102973
20220830,92334873.38698296
20220831,88362995.2091919
20220901,87642909.85444935
20220902,88877119.39655095
20220905,89357436.44685166
20220906,91124555.99763
20220907,91253674.35520388
20220908,90454071.89241257
20220909,90190917.23971029
20220913,90274990.60459149
20220914,89518973.60681875
20220915,87290347.1223856
20220916,85551892.98726615
20220919,84919022.66492555
20220920,86227676.42131147
20220921,86337711.48153366
20220922,86404889.00556934
20220923,84795860.93797989
20220926,83996273.89052868
20220927,85713229.13329105
20220928,83678335.66933368
20220929,83459294.04025881
20220930,82154777.84162284
20221010,81024566.71696126
20221011,81492945.34824435
20221012,83310532.54257324
20221013,83688996.4685646
20221014,84900138.08851147
20221017,85703221.16424817
20221018,86377878.88603571
20221019,85608286.0055251
20221020,85175239.68847731
20221021,85518496.30337794
20221024,84568171.06659348
20221025,84294311.32769199
20221026,85227907.4246724
20221027,85174147.95308833
20221028,82257682.52834973
20221031,82291629.55787086
20221101,83380192.99307056
20221102,84277273.32544534
20221103,84186830.24136004
20221104,85364212.44970265
20221107,85603493.09422666
20221108,85489462.19318718
20221109,85592356.97132565
20221110,85210500.24001953
20221111,85318543.55461708
20221114,85716220.19244541
20221115,87059951.6485436
20221116,86663883.94899066
20221117,87397447.41863585
20221118,87428372.5364853
20221121,88301346.29252408
20221122,87491460.90528187
20221123,87028096.19437484
20221124,87664683.83183694
20221125,87180041.77353325
20221128,86649745.01402755
20221129,87859793.00344697
20221130,88317703.98828767
20221201,88260118.0469049
20221202,88363370.52932948
20221205,89315764.82265401
20221206,88735202.56065214
20221207,88664824.20941967
20221208,88578701.45789264
20221209,88859196.44035733
20221212,88033184.03141525
20221213,87566903.33321339
20221214,87130193.57108682
20221215,87171355.76020984
20221216,86720779.6001537
20221219,85118306.24067685
20221220,84671296.49550483
20221221,84199765.83329575
20221222,83328166.40034223
20221223,82775013.48196925
20221226,83706380.38116263
20221227,84321256.67807013
20221228,83721747.95737086
20221229,83407338.70282479
20221230,84022403.18051326
20230103,85081474.92805701
20230104,85645816.7650188
20230105,85945112.89537922
20230106,85844948.71999697
20230109,86483706.79249898
20230110,86641190.0283496
20230111,86898522.64196073
20230112,87312205.24358392
20230113,88031825.76446836
20230116,88532469.90560485
20230117,88213234.81015955
20230118,88447886.6493269
20230119,88826432.39955474
20230120,89638413.4762013
20230130,90344275.59230013
20230131,90480801.45526116
20230201,91450711.7321237
20230202,91508628.83144459
20230203,91075713.30252105
20230206,90313242.51029207
20230207,90926407.17788817
20230208,90396742.2834388
20230209,91467106.0356963
20230210,91321089.6048642
20230213,92991809.0025784
20230214,93219259.62683217
20230215,92902311.90667805
20230216,91126724.30590636
20230217,90936195.79814026
20230220,93506982.09449714
20230221,94334777.80249926
20230222,94163706.66845736
20230223,93870764.77680312
20230224,93164676.40810353
20230227,92914633.84092389
20230228,93440070.19873782
20230301,94324021.30677438
20230302,94680675.23271821
20230303,94157106.44619767
20230306,93514664.35602368
20230307,91559304.36401711
20230308,92107894.6666817
20230309,91892270.30016384
20230310,90428526.78119253
20230313,91639732.118917
20230314,90109209.22204243
20230315,90439485.79491761
20230316,89313319.51924138
20230317,90220319.25821036
20230320,89889019.5108788
20230321,91721734.6207974
20230322,92358316.59501015
20230323,93095723.81789345
20230324,93428457.81101842
20230327,92960012.82005998
20230328,92325224.03789136
20230329,92203203.85558859
20230330,92544915.45244555
20230331,94328994.14326108
20230403,95500708.82522608
20230404,96119227.49526705
20230406,96766802.39071551
20230407,97332760.13152637
20230410,96074641.63347895
20230411,96453308.78717521
20230412,97392217.20561197
20230413,95911162.35824092
20230414,96417538.48706737
20230417,97123352.81633134
20230418,97456426.52229123
20230419,97514701.95896626
20230420,99452445.45795298
20230421,96500362.58945149
20230424,96413788.58953992
20230425,95190481.25580895
20230426,94449124.95924532
20230427,93706508.34181602
20230428,96320630.8321917
20230504,96732247.85322389
20230505,95574595.11399809
20230508,96612744.34428804
20230509,94831903.73863561
20230510,94503545.56951864
20230511,94255293.27142301
20230512,93366990.33097245
20230515,93672544.3808809
20230516,92590537.15185072
20230517,92996626.34291317
20230518,94590814.83507605
20230519,94064125.28966025
20230522,94316923.83409858
20230523,92941576.83678843
20230524,92752063.00032195
20230525,92641668.32546367
20230526,94098162.15115425
20230529,95031818.44738382
20230530,96133047.37296803
20230531,96263671.9796513
20230601,96672838.43717457
20230602,96609496.17823865
20230605,97625683.91377647
20230606,96055329.98095568
20230607,96923968.44217888
20230608,96839001.16095307
20230609,97346593.71588868
20230612,97740157.70954828
20230613,97693271.99127823
20230614,97711164.183044
20230615,97868520.1731175
20230616,98151834.14613594
20230619,97736300.78548612
20230620,97173783.7180314
20230621,95747724.01063164
20230626,94078769.72442412
20230627,95826168.4590418
20230628,95810388.46390791
20230629,96833931.89394483
20230630,97410878.73811874
20230703,97563421.84196125
20230704,97454451.7052848
20230705,96700810.9185306
20230706,96575220.52239466
20230707,96736284.24803112
20230710,96792219.526709
20230711,97421307.5308523
20230712,96766960.83720194
20230713,97635068.35576604
20230714,97685835.96480007
20230717,97710083.28326325
20230718,97521381.27772339
20230719,97759641.04093495
20230720,96540610.97464982
20230721,95927056.80751716
20230724,96414116.30783136
20230725,97847549.92639998
20230726,97327120.72050874
20230727,96814475.61545646
20230728,97995670.90917799
20230731,98755191.84726432
20230801,97996457.63005334
20230802,98056783.01218167
20230803,98152403.30276667
20230804,97885878.78613417
20230807,97139257.35565574
20230808,96738511.41245742
20230809,95975771.22185712
20230810,96394072.88540857
20230811,94878494.53259097
20230814,95181184.45352298
20230815,95296675.27376
20230816,94431890.55151108
20230817,95948033.61419223
20230818,94772731.3833529
20230821,93947032.54036745
20230822,94129137.457484
20230823,93110256.78459729
20230824,92873398.0854173
20230825,91458491.60224271
20230828,92425687.61582658
20230829,95587448.7798228
20230830,95715627.15714014
20230831,95309352.01527205
20230901,95513572.77677113
20230904,96481705.74191447
20230905,95880382.984981
20230906,95799586.62989497
20230907,94688790.38831562
20230908,94658075.55936876
20230911,95349740.2008327
20230912,94964961.06924339
20230913,94508463.07236017
20230914,94372159.54355611
20230915,94404613.79971349
20230918,94877804.51352449
20230919,94310647.61134014
20230920,93903529.43867028
20230921,93176213.3205343
20230922,94585641.24286117
20230925,94321737.98303881
20230926,94176285.42508762
20230927,94659301.9126537
20230928,95269472.91162778
20231009,94809803.7958351
20231010,93920091.04377525
20231011,93898791.66473195
20231012,94305321.78529458
20231013,93724260.7448084
20231016,93483396.61106794
20231017,93658884.26271236
20231018,92243399.80982335
20231019,91166255.92801616
20231020,90542035.9818276
20231023,88869265.93634999
20231024,90560686.12625723
20231025,90764573.56565928
20231026,90802194.92746836
20231027,92131089.12259984
20231030,92219773.75371525
20231031,91725755.59545825
20231101,91728945.4286059
20231102,91112731.47104962
20231103,91657493.79958618
20231106,92600953.21896398
20231107,92787191.82754618
20231108,92856716.92393447
20231109,92420477.54400796
20231110,92587763.78889127
20231113,92877146.5664028
20231114,92826393.78208257
20231115,93276577.94196586
20231116,92830973.73824154
20231117,93131385.59638518
20231120,93603269.79860352
20231121,93122424.73479657
20231122,92715049.38830256
20231123,93717569.18438853
20231124,93089883.69537687
20231127,93332504.8871223
20231128,94121535.33557136
20231129,93799422.32936436
20231130,93782668.7075319
20231201,93700763.77262394
20231204,93841047.49667113
20231205,92443106.93390597
20231206,92930482.97924265
20231207,92878037.82962489
20231208,92267276.6517943
20231211,93618210.51179862
20231212,94104679.53206582
20231213,93647093.14424416
20231214,93723208.02440642
20231215,93112805.66546898
20231218,92331935.05931917
20231219,92293985.48081647
20231220,91645132.14066969
20231221,91946731.87427981
20231222,91187791.46212864
20231225,91205225.67147286
20231226,90314161.61573659
20231227,91206534.02669078
20231228,91747366.98944283
20231229,92966674.82123475
20240102,93651945.8055601
20240103,94019566.27484529
20240104,94260400.68970266
20240105,93299471.73628701
20240108,91982870.506667
20240109,92822702.15610413
20240110,92143663.84936514
20240111,93032663.16842431
20240112,92992159.92962743
20240115,93609803.5362436
20240116,93594632.34204118
20240117,92462421.05968975
20240118,91730912.90872703
20240119,90915228.04955882
20240122,86376027.36666894
20240123,87168715.0762427
20240124,88547791.947539
20240125,91256804.9574436
20240126,91481505.70027909
20240129,90182741.2221768
20240130,88124097.83688045
20240131,86122268.9449236
20240201,84809570.55994624
20240202,82916403.95428039
20240205,80453282.06021059
20240206,84184693.94773985
20240207,86203902.81956576
20240208,88679136.22072029
20240219,89771768.98917356
20240220,90182915.92929031
20240221,90577337.51427592
20240222,91456858.98059407
20240223,91750458.63697116
20240226,91638271.11276303
20240227,93018707.64571561
20240228,90609756.58742887
20240229,92938532.42470858
20240301,93349845.13971186
20240304,94222702.24917598
20240305,93875620.1364267
20240306,94179271.79077457
