date,code,direction,qty,price,cost
20170703,603599,sell,490064,5.04,7409.77
20170703,002866,sell,141649,15.47,6573.93
20170703,600215,buy,228340,10.87,7446.17
20170703,000422,sell,2799,5.44,45.68
20170703,300195,buy,183313,13.54,7446.17
20170703,600962,buy,2742,13.8,113.52
20170703,600177,buy,676310,3.67,7446.17
20170703,603306,sell,1241,22.36,83.25
20170703,000426,buy,279196,8.89,7446.16
20170703,600106,buy,33659,3.48,351.4
20170703,002718,buy,2553,37.41,286.52
20170703,300154,buy,11106,6.97,232.23
20170703,002287,buy,86452,28.71,7446.11
20170703,002558,buy,55651,44.6,7446.1
20170703,603005,buy,15148,9.94,451.71
20170703,300450,buy,172006,14.43,7446.14
20170703,002818,sell,3578,16.69,179.15
20170703,600506,sell,15421,12.78,591.24
20170703,300363,buy,24932,12.14,908.02
20170703,002549,buy,23625,7.08,501.8
20170703,300215,buy,262651,9.45,7446.16
20170703,300176,buy,8886,18.1,482.51
20170703,002677,buy,17520,9.54,501.42
20170703,300035,sell,84249,7.4,1870.33
20170703,300446,buy,123056,20.17,7446.12
20170703,002038,buy,1104,17.93,59.38
20170703,002571,buy,337695,7.35,7446.17
20170703,002582,buy,283988,8.74,7446.17
20170703,600371,sell,19193,8.09,465.81
20170703,600736,buy,369354,6.72,7446.18
20170703,002148,sell,22362,10.96,735.26
20170703,002643,buy,6510,12.91,252.13
20170703,600703,buy,17893,17.61,945.29
20170703,300408,buy,136003,18.25,7446.16
20170703,000975,buy,596648,4.16,7446.17
20170703,000830,buy,1170782,2.12,7446.17
20170703,600223,buy,20724,4.01,249.31
20170703,300443,sell,2099,20.19,127.14
20170703,603360,buy,636425,3.9,7446.17
20170703,600900,buy,17532,8.28,435.49
20170703,002763,buy,546,12.72,20.84
20170703,000544,buy,200327,12.39,7446.15
20170703,600674,buy,29042,6.57,572.42
20170703,600486,sell,9354,26.64,747.57
20170703,002138,buy,156104,15.9,7446.16
20170703,600845,buy,1204883,2.06,7446.18
20170703,300357,buy,3108,11.12,103.68
20170703,300261,buy,425010,5.84,7446.18
20170703,002189,buy,153213,16.2,7446.15
20170703,002031,buy,60287,3.13,566.09
20170703,000880,sell,7463,6.87,153.81
20170703,000886,sell,16634,4.56,227.55
20170703,300327,buy,160029,15.51,7446.15
20170703,002222,buy,209988,11.82,7446.17
20170703,300144,buy,15253,11.19,512.04
20170703,002831,buy,82323,30.15,7446.12
20170703,300342,buy,169539,14.64,7446.15
20170703,603040,buy,5581,26.19,438.5
20170703,601088,sell,40276,3.87,467.6
20170703,600867,sell,7528,13.52,305.34
20170703,002346,buy,94554,26.25,7446.13
20170703,300403,buy,297252,8.35,7446.16
20170703,600037,buy,4018,13.46,162.25
20170703,000858,buy,93839,26.45,7446.12
20170703,002492,buy,275784,9.0,7446.17
20170703,000301,buy,54107,4.3,697.98
20170703,000429,buy,547915,4.53,7446.16
20170703,300193,buy,414367,5.99,7446.17
20170703,600113,buy,226258,10.97,7446.15
20170703,002670,sell,13787,12.32,509.57
20170703,600012,buy,234599,10.58,7446.17
20170703,002516,buy,589562,4.21,7446.17
20170703,600236,buy,11753,2.68,94.49
20170703,300298,buy,19884,11.7,697.93
20170703,601985,buy,35848,6.49,697.96
20170703,002633,buy,34008,16.24,1656.87
20170703,300146,buy,270376,9.18,7446.16
20170703,600031,sell,74773,5.12,1148.51
20170703,002049,buy,120022,20.68,7446.16
20170703,300394,sell,22322,4.68,313.4
20170703,002273,buy,226879,10.94,7446.17
20170703,002039,buy,285951,8.68,7446.16
20170703,300149,buy,129341,19.19,7446.16
20170703,002553,buy,236837,10.48,7446.16
20170703,601001,buy,926141,2.68,7446.17
20170703,600519,buy,499,196.81,294.62
20170703,000568,buy,111303,22.3,7446.17
20170703,002345,sell,9631,9.33,269.57
20170703,002695,sell,44012,20.86,2754.27
20170703,300109,buy,112259,22.11,7446.14
20170703,000014,buy,16490,13.71,678.23
20170703,601566,buy,23638,11.88,842.46
20170703,603703,buy,190341,13.04,7446.14
20170703,601717,buy,55002,4.23,697.98
20170703,002749,buy,296542,8.37,7446.17
20170703,603058,buy,120546,20.59,7446.13
20170703,300475,buy,304547,8.15,7446.17
20170703,002555,sell,7082,19.93,423.43
20170703,000902,buy,343300,7.23,7446.18
20170703,000026,buy,240509,10.32,7446.16
20170703,002635,buy,63042,33.39,6314.92
20170703,002363,buy,1,8.32,0.02
20170801,600519,sell,12611,223.47,8454.54
20170801,000858,sell,93839,29.0,8163.99
20170801,300146,sell,270376,9.1,7381.26
20170801,000568,sell,111303,29.94,9997.24
20170801,600215,buy,24918,9.95,743.8
20170801,000422,sell,61907,6.39,1186.76
20170801,300195,buy,87,13.74,3.59
20170801,600962,buy,8194,13.4,329.4
20170801,603306,buy,2556,22.19,170.15
20170801,600177,sell,51019,4.03,616.82
20170801,000426,sell,19410,9.7,564.83
20170801,600106,sell,15196,3.61,164.57
20170801,002718,buy,6927,34.39,714.66
20170801,603005,buy,17236,9.44,488.12
20170801,300154,buy,10694,6.87,220.4
20170801,002287,buy,5954,27.27,487.1
20170801,002558,buy,5482,41.22,677.9
20170801,300450,sell,39796,19.06,2275.54
20170801,002818,buy,21089,14.84,938.88
20170801,600506,sell,35129,15.84,1669.33
20170801,300363,buy,20340,11.21,684.03
20170801,002549,sell,22030,7.67,506.91
20170801,300176,sell,696,18.47,38.57
20170801,300215,sell,40435,11.34,1375.6
20170801,002677,sell,1188,9.73,34.68
20170801,300035,sell,29226,8.23,721.59
20170801,002571,buy,26982,6.91,559.34
20170801,002038,buy,14292,16.5,707.45
20170801,002582,sell,51951,10.86,1692.56
20170801,300446,buy,20774,17.52,1091.88
20170801,600371,buy,24762,7.6,564.57
20170801,600703,sell,6478,18.74,364.19
20170801,002643,buy,20214,11.86,719.21
20170801,600736,buy,9012,6.66,180.06
20170801,300408,sell,5030,19.24,290.33
20170801,002148,sell,9231,11.6,321.24
20170801,000830,sell,534438,3.96,6349.12
20170801,000975,sell,94672,5.02,1425.76
20170801,603360,buy,98245,3.43,1010.94
20170801,600223,buy,20606,3.94,243.56
20170801,300443,sell,1727,20.79,107.71
20170801,600900,sell,17894,8.94,479.92
20170801,002763,sell,8053,13.47,325.42
20170801,000544,buy,14316,11.74,504.21
20170801,002138,buy,3992,15.74,188.5
20170801,600486,sell,4566,28.44,389.57
20170801,600674,sell,29249,7.23,634.41
20170801,300357,buy,12080,10.71,388.13
20170801,300261,buy,17858,5.69,304.84
20170801,600845,buy,157235,1.85,872.65
20170801,002189,buy,5572,15.87,265.28
20170801,300327,buy,8866,14.92,396.84
20170801,002222,buy,7059,11.61,245.86
20170801,002031,buy,25165,3.08,232.52
20170801,000880,buy,76195,5.76,1316.65
20170801,000886,sell,41334,5.01,621.25
20170801,002831,buy,7067,28.19,597.66
20170801,300144,buy,26457,10.15,805.62
20170801,603040,sell,919,26.85,74.03
20170801,300342,buy,24899,12.96,968.07
