,nav
20220621,90305205.46309765
20220622,89314867.9399879
20220623,90896394.6255351
20220624,91649488.91512449
20220627,92350478.22735007
20220628,93384033.14237416
20220629,91817417.85320508
20220630,92071143.35629153
20220701,91743721.03622936
20220704,91972634.14428186
20220705,91561939.5768769
20220706,90584925.79751115
20220707,91509412.44602968
20220708,91156028.68022658
20220711,90302672.57555065
20220712,89309038.77102962
20220713,90122098.04799974
20220714,90452566.99344796
20220715,89628996.45319636
20220718,92676106.14043014
20220719,93472617.17757584
20220720,94316935.28577812
20220721,94207545.42390138
20220722,93972953.78474371
20220725,93065867.92605245
20220726,94185977.076595
20220727,95294865.29254651
20220728,96121947.18304196
20220729,96033678.7783155
20220801,96616513.53721535
20220802,93436375.92110527
20220803,92363620.42576529
20220804,93257416.05260094
20220805,93994314.99160974
20220808,95822352.71990836
20220809,96148414.48220351
20220810,97036941.94187833
20220811,97513540.1207856
20220812,96621324.77188694
20220815,97372219.88998881
20220816,98412672.27781893
20220817,98664853.36970645
20220818,99353313.64352524
20220819,97709560.63961267
20220822,97803219.01258661
20220823,98011743.61554758
20220824,94408910.25155343
20220825,93886456.71117157
20220826,93526567.12497877
20220829,94214479.75890283
20220830,93361222.70843448
20220831,90263469.21850494
20220901,89670171.44236298
20220902,90872301.56218272
20220905,91273521.721948
20220906,92833581.53625695
20220907,93600879.27138786
20220908,92735424.25469425
20220909,92878009.25616197
20220913,93320164.33777434
20220914,92437635.25652874
20220915,90113213.95354763
20220916,88222883.94038172
20220919,87253539.17632793
20220920,88838668.77850994
20220921,89416900.36684531
20220922,89510360.18793882
20220923,88076236.59016281
20220926,86187114.97725627
20220927,87529832.93131645
20220928,85049208.17321338
20220929,84871051.00840952
20220930,83773528.99823143
20221010,82627432.65784773
20221011,83181991.77444687
20221012,84869862.58414382
20221013,85198836.89215262
20221014,86560012.4660218
20221017,87386070.61885256
20221018,87577068.84624146
20221019,86913311.75022401
20221020,86353638.2181861
20221021,86112123.62004824
20221024,84979562.47240114
20221025,84700589.07244782
20221026,85819898.7107796
20221027,85978363.86095692
20221028,82963357.24236266
20221031,83309374.31560847
20221101,84811741.4826013
20221102,85460030.53669101
20221103,85207046.2023944
20221104,86786546.4234228
20221107,87333586.85102239
20221108,87273496.61413069
20221109,87086715.09907538
20221110,86905374.92540914
20221111,87642204.5683733
20221114,87306196.29316315
20221115,88752592.74796678
20221116,88511365.3102882
20221117,88589713.10314934
20221118,88101548.00958888
20221121,88241783.89643694
20221122,88064945.560363
20221123,87927922.70419931
20221124,88139349.6555836
20221125,88397556.28725798
20221128,87834161.47686364
20221129,89306168.63913532
20221130,89559763.98482116
20221201,89710698.73835473
20221202,89955287.5285943
20221205,90906093.04041861
20221206,90610965.14214171
20221207,90559135.52662209
20221208,90285225.55307345
20221209,90511732.64126693
20221212,89711300.99192259
20221213,89130292.05074237
20221214,88729289.82670996
20221215,88866283.72886606
20221216,88196295.82421535
20221219,86488421.74318445
20221220,86016479.8035137
20221221,85623418.31210442
20221222,84583301.31867358
20221223,84317889.4792839
20221226,85145051.96165514
20221227,85803659.34501183
20221228,85289295.06035478
20221229,84943963.88472514
20221230,85490988.43426073
20230103,86763511.35185005
20230104,87143389.77827673
20230105,87652436.66714995
20230106,87984184.57724887
20230109,88749039.57227913
20230110,88908641.1053795
20230111,88896365.90451911
20230112,89332026.48805805
20230113,89613000.26434235
20230116,90241842.90568306
20230117,90211093.75445972
20230118,90802085.1838334
20230119,91103166.00353757
20230120,92120510.94117463
20230130,93157659.06648825
20230131,93532002.01353543
20230201,95127503.51236378
20230202,95143786.7930599
20230203,95207773.0112039
20230206,95000643.0429758
20230207,96843100.28591332
20230208,96485061.3137115
20230209,98633901.03553836
20230210,98338533.09488773
20230213,99549984.41422488
20230214,99562430.2543057
20230215,100118023.03805494
20230216,97691563.33364472
20230217,96672001.27092075
20230220,99109745.59542349
