code,day,E,upgraded,stayed_l1,fell
605365,20220104,E2,False,True,False
605368,20220104,E0,True,False,False
605499,20220104,E2,False,True,False
605507,20220104,E2,False,True,False
605555,20220104,E2,False,True,False
605566,20220104,E2,False,True,False
605567,20220104,E2,False,True,False
605577,20220104,E2,False,True,False
605580,20220104,E2,False,True,False
605598,20220104,E2,False,True,False
605599,20220104,E2,False,True,False
688009,20220104,E0,True,False,False
688012,20220104,E0,True,False,False
688016,20220104,E0,True,False,False
688018,20220104,E0,False,True,False
688029,20220104,E0,False,True,False
688049,20220104,E2,False,True,False
688050,20220104,E0,True,False,False
688055,20220104,E1,True,False,False
688063,20220104,E0,True,False,False
688068,20220104,E1,True,False,False
688075,20220104,E2,False,True,False
688079,20220104,E0,False,True,False
688082,20220104,E2,False,True,False
688083,20220104,E0,True,False,False
688087,20220104,E2,False,True,False
688103,20220104,E2,False,True,False
688107,20220104,E2,False,True,False
688111,20220104,E0,True,False,False
688112,20220104,E2,False,True,False
688121,20220104,E2,False,True,False
688136,20220104,E0,True,False,False
688139,20220104,E0,True,False,False
688148,20220104,E2,False,True,False
688161,20220104,E2,False,True,False
688162,20220104,E2,False,True,False
688182,20220104,E2,False,True,False
688185,20220104,E0,False,True,False
688187,20220104,E2,False,True,False
688188,20220104,E0,True,False,False
688190,20220104,E2,False,True,False
688200,20220104,E0,True,False,False
688202,20220104,E0,True,False,False
688211,20220104,E2,False,True,False
688212,20220104,E2,False,True,False
688216,20220104,E2,False,True,False
688222,20220104,E0,False,True,False
688230,20220104,E2,False,True,False
688232,20220104,E2,False,True,False
688269,20220104,E2,True,False,False
688272,20220104,E2,False,True,False
688276,20220104,E2,False,True,False
688280,20220104,E2,False,True,False
688285,20220104,E2,False,True,False
688303,20220104,E2,False,True,False
688308,20220104,E0,False,True,False
688321,20220104,E0,False,True,False
688323,20220104,E2,False,True,False
688329,20220104,E2,False,True,False
688345,20220104,E2,False,True,False
688363,20220104,E0,True,False,False
688366,20220104,E0,False,True,False
688368,20220104,E0,False,True,False
688383,20220104,E2,True,False,False
688385,20220104,E2,False,True,False
688396,20220104,E0,True,False,False
688468,20220104,E2,False,True,False
688499,20220104,E2,False,True,False
688508,20220104,E0,True,False,False
688526,20220104,E0,False,True,False
688533,20220104,E2,True,False,False
688538,20220104,E2,True,False,False
688553,20220104,E2,False,True,False
688558,20220104,E0,True,False,False
688575,20220104,E2,True,False,False
688601,20220104,E2,True,False,False
688606,20220104,E2,True,False,False
688613,20220104,E2,False,True,False
688617,20220104,E0,False,True,False
688621,20220104,E2,True,False,False
688626,20220104,E2,False,True,False
688661,20220104,E2,False,True,False
688677,20220104,E0,True,False,False
688683,20220104,E2,True,False,False
688686,20220104,E0,False,True,False
688690,20220104,E2,True,False,False
688697,20220104,E2,False,True,False
688699,20220104,E0,False,True,False
688700,20220104,E2,True,False,False
688707,20220104,E2,False,True,False
688711,20220104,E2,False,True,False
688722,20220104,E2,False,True,False
688728,20220104,E2,False,True,False
688739,20220104,E2,False,True,False
688767,20220104,E2,False,True,False
688776,20220104,E2,False,True,False
688778,20220104,E2,False,True,False
688779,20220104,E2,False,True,False
688789,20220104,E2,False,True,False
688798,20220104,E2,False,True,False
688800,20220104,E2,False,True,False
688981,20220104,E0,True,False,False
689009,20220104,E0,False,True,False
000025,20220505,E2,False,True,False
000026,20220505,E1,True,False,False
000030,20220505,E1,False,True,False
000049,20220505,E0,True,False,False
000153,20220505,E0,True,False,False
000333,20220505,E0,False,True,False
000338,20220505,E0,False,True,False
000408,20220505,E1,True,False,False
000420,20220505,E0,True,False,False
000423,20220505,E1,True,False,False
000520,20220505,E0,True,False,False
000534,20220505,E0,False,False,True
000552,20220505,E0,False,True,False
000557,20220505,E0,True,False,False
000592,20220505,E0,False,False,True
000612,20220505,E1,False,False,True
000629,20220505,E1,True,False,False
000636,20220505,E0,False,True,False
000650,20220505,E1,False,True,False
000655,20220505,E0,False,False,True
000657,20220505,E0,False,True,False
000717,20220505,E0,True,False,False
000739,20220505,E0,False,True,False
000783,20220505,E1,True,False,False
000811,20220505,E1,True,False,False
000812,20220505,E0,True,False,False
000825,20220505,E1,False,True,False
000858,20220505,E1,False,True,False
000862,20220505,E1,False,True,False
000875,20220505,E0,False,True,False
000920,20220505,E0,True,False,False
000930,20220505,E1,False,True,False
000935,20220505,E1,False,True,False
000951,20220505,E1,False,False,True
000959,20220505,E1,True,False,False
000969,20220505,E0,True,False,False
001205,20220505,E0,True,False,False
001213,20220505,E2,False,True,False
001215,20220505,E2,False,False,True
001216,20220505,E2,True,False,False
001217,20220505,E2,True,False,False
001219,20220505,E2,True,False,False
001227,20220505,E2,False,True,False
001234,20220505,E2,False,True,False
001266,20220505,E2,False,True,False
001289,20220505,E2,False,True,False
001296,20220505,E2,False,True,False
001308,20220505,E2,False,True,False
001313,20220505,E2,False,True,False
001317,20220505,E2,False,False,True
002007,20220505,E0,True,False,False
002008,20220505,E0,False,True,False
002011,20220505,E0,True,False,False
002015,20220505,E0,False,False,True
002026,20220505,E0,True,False,False
002036,20220505,E0,True,False,False
002043,20220505,E1,False,True,False
002045,20220505,E1,True,False,False
002048,20220505,E0,False,True,False
002050,20220505,E1,True,False,False
002064,20220505,E1,False,True,False
002075,20220505,E0,True,False,False
002088,20220505,E0,True,False,False
002101,20220505,E0,True,False,False
002140,20220505,E0,True,False,False
002141,20220505,E0,True,False,False
002142,20220505,E0,False,True,False
002145,20220505,E0,True,False,False
002155,20220505,E1,True,False,False
002158,20220505,E0,True,False,False
002184,20220505,E1,True,False,False
002191,20220505,E0,True,False,False
002201,20220505,E0,False,True,False
002218,20220505,E0,False,False,True
002221,20220505,E0,True,False,False
002223,20220505,E1,False,False,True
002239,20220505,E0,True,False,False
002254,20220505,E0,True,False,False
002263,20220505,E0,False,False,True
002273,20220505,E1,True,False,False
002274,20220505,E1,False,True,False
002283,20220505,E0,False,True,False
002284,20220505,E0,False,True,False
002285,20220505,E0,True,False,False
002286,20220505,E1,True,False,False
002315,20220505,E1,True,False,False
002326,20220505,E0,False,True,False
002332,20220505,E1,True,False,False
002334,20220505,E1,True,False,False
002346,20220505,E0,False,True,False
002351,20220505,E1,False,False,True
002357,20220505,E1,False,False,True
002369,20220505,E0,False,False,True
002372,20220505,E1,True,False,False
002414,20220505,E0,False,False,True
002416,20220505,E0,True,False,False
002429,20220505,E0,False,False,True
002442,20220505,E1,False,False,True
002444,20220505,E0,False,False,True
002452,20220505,E1,True,False,False
002453,20220505,E0,False,True,False
002455,20220505,E0,False,True,False
002469,20220505,E1,True,False,False
002483,20220505,E0,True,False,False
002487,20220505,E0,False,False,True
002493,20220505,E0,False,True,False
002511,20220505,E0,False,False,True
002516,20220505,E0,True,False,False
002518,20220505,E0,True,False,False
002534,20220505,E0,False,False,True
002536,20220505,E0,False,False,True
002568,20220505,E0,False,False,True
002571,20220505,E0,True,False,False
002576,20220505,E1,True,False,False
002585,20220505,E0,True,False,False
002605,20220505,E0,False,False,True
002606,20220505,E1,True,False,False
002632,20220505,E1,True,False,False
002651,20220505,E0,False,True,False
002655,20220505,E0,False,True,False
002658,20220505,E1,True,False,False
002690,20220505,E0,True,False,False
002695,20220505,E1,False,False,True
