grp,year,upgraded,fwd6
OTHER,2022,False,-0.2327723457039184
OTHER,2022,True,-0.0850842422164593
OTHER,2022,False,-0.2657111356119073
TECH_OTHER,2022,False,-0.3415524705770456
OTHER,2022,True,-0.0348099294121141
OTHER,2022,True,-0.1127760252365929
OTHER,2022,False,-0.274508301404853
OTHER,2022,True,-0.2060320135296764
OTHER,2022,True,-0.2505228350662579
OTHER,2022,True,-0.0928037680691524
TECH_OTHER,2022,False,-0.3653717347622237
OTHER,2022,False,-0.2671029149315882
OTHER,2022,True,0.4641912762685316
OTHER,2022,False,-0.2310032200985337
OTHER,2022,False,-0.0418914712720761
OTHER,2022,False,-0.2166751662570716
TECH_OTHER,2022,True,-0.1957337632352903
OTHER,2022,False,-0.1597425009915233
TECH_OTHER,2022,False,-0.2367358062741951
OTHER,2022,False,-0.2302514646450982
TECH_OTHER,2022,True,-0.214365314551813
OTHER,2022,False,-0.3599677430522207
OTHER,2022,False,-0.3768768768768769
OTHER,2022,False,-0.2232652476146657
AI_INFRA,2022,False,-0.1404347826086956
OTHER,2022,True,-0.1619766643788608
OTHER,2022,True,-0.0293364208726423
OTHER,2022,True,-0.2098214285714286
