code,day,state,rps_t0,rps_t1,state_t1,fwd6,fwd6_excess,R1_price,R2_state,R3_excess,year
002088,20220505,L5-B,21.73913043478261,95.83333333333334,L3,0.187773780489785,0.2545243473814725,True,True,True,2022
002141,20220505,L5-A,8.823529411764707,45.714285714285715,L2,0.1837270341207348,0.18125281034611251,False,True,True,2022
002158,20220505,L5-A,27.559055118110237,88.58695652173914,L3,0.8652875903381361,0.596852306867863,True,True,True,2022
002263,20220505,L5-A,25.203252032520325,34.868421052631575,L0,0.1284046692607003,0.03355128959851479,False,False,False,2022
002332,20220505,L5-A,36.15819209039548,73.33333333333333,L3,0.1670516991885944,0.08018533233057687,True,True,True,2022
002334,20220505,L5-A,31.496062992125985,96.19565217391305,L3,0.8919491525423728,0.6235138690720997,True,True,True,2022
002372,20220505,L5-B,30.434782608695656,79.16666666666666,L3,-0.0249625504884245,0.041788016403263004,True,True,False,2022
002416,20220505,L5-A,15.625,93.93939393939394,L3,0.3875338753387534,0.40141683787381044,True,True,True,2022
002483,20220505,L5-A,26.77165354330709,41.30434782608695,L2,0.1308631366242294,-0.1375721468460437,False,True,False,2022
002549,20220505,L5-A,68.29268292682927,84.86842105263158,L3,0.3154911692655799,0.22063778960339442,True,True,True,2022
002637,20220505,L5-A,56.09756097560976,13.157894736842104,L1,-0.2615475591784406,-0.35640093884062607,False,False,False,2022
002756,20220505,L5-A,73.91304347826086,50.79365079365079,L0,0.2206249435091176,0.12772860430257735,True,False,True,2022
002760,20220505,L5-B,62.20472440944882,24.456521739130434,L0,0.0651709401709401,-0.20326434329933302,False,False,False,2022
002824,20220505,L5-A,4.3478260869565215,12.698412698412698,L1,0.207982855836766,0.11508651663022576,False,False,True,2022
002860,20220505,L5-B,10.714285714285714,86.04651162790698,L3,0.3846825274501477,0.38912519548980495,True,True,True,2022
002886,20220505,L5-A,2.4390243902439024,84.21052631578947,L0,0.2256337535190595,0.13078037385687402,True,False,True,2022
002915,20220505,L5-A,40.65040650406504,57.89473684210527,L2,0.2805412593349576,0.18568787967277212,True,True,True,2022
002971,20220505,L5-B,60.97560975609756,23.026315789473685,L0,0.0396945747750414,-0.0551588048871441,False,False,False,2022
300005,20220505,L5-A,46.666666666666664,44.44444444444444,L2,0.0585831062670298,0.13462297928983663,False,True,True,2022
300026,20220505,L5-B,58.75706214689266,52.38095238095239,L2,0.1991913939324543,0.11232502707443678,True,True,True,2022
300048,20220505,L5-A,40.15748031496063,1.6304347826086956,L1,0.0355731225296442,-0.23286216094062892,False,False,False,2022
300092,20220505,L5-B,70.07874015748031,49.45652173913043,L2,0.2859265652746363,0.017491281804363157,False,True,False,2022
300095,20220505,L5-A,18.11023622047244,4.3478260869565215,L1,0.1011190195264684,-0.16731626394380472,False,False,False,2022
300099,20220505,L5-A,36.22047244094488,26.6304347826087,L1,0.063934426229508,-0.2045008572407651,False,False,False,2022
300109,20220505,L5-A,19.51219512195122,99.3421052631579,L3,1.0046566695826766,0.9098032899204911,True,True,True,2022
300112,20220505,L5-A,55.90551181102362,57.04225352112676,L2,0.250136522538918,-0.01829876093135513,True,True,False,2022
300127,20220505,L5-A,10.869565217391305,41.269841269841265,L0,0.0470248239111379,-0.04587151529540235,False,False,False,2022
300151,20220505,L5-A,3.149606299212598,42.934782608695656,L0,0.2457853754300425,-0.02264990804023062,False,False,False,2022
300171,20220505,L5-A,61.016949152542374,6.190476190476191,L1,-0.2389660474798475,-0.32583241433786503,False,False,False,2022
300194,20220505,L5-A,37.85310734463277,43.21608040201005,L0,0.0427350427350425,-0.04413132412297502,False,False,False,2022
300224,20220505,L5-A,36.95652173913043,61.904761904761905,L2,0.1215753424657535,0.028679003259213243,True,True,False,2022
300247,20220505,L5-A,53.57142857142857,65.11627906976744,L2,0.0868167202572347,0.09125938829689197,True,True,True,2022
300260,20220505,L5-A,38.582677165354326,98.36956521739133,L3,1.880064396596532,1.6116291131262588,True,True,True,2022
300305,20220505,L5-A,13.008130081300814,18.421052631578945,L1,0.1336412902348243,0.03878791057263879,False,False,False,2022
300320,20220505,L5-B,16.260162601626014,46.71052631578947,L2,0.2710428262191358,0.1761894465569503,False,True,True,2022
300351,20220505,L5-A,48.818897637795274,73.91304347826086,L3,0.4019933554817276,0.13355807201145448,True,True,True,2022
