day,code,rps,order,capex,margin,discovery,fwd1,fwd3,fwd6,disc_q,state,lc_score,ev_score,ms_score,ex_score,rpi,rpi_q,n_green,n_red,ev,unconfirmed,exec,growth_ra,recovery_ra
20230103,688017,2.112676056338028,1.0,1.0,1.0,1.0,0.2840931714115071,0.1347800119450526,0.443538777672275,high,L5-A,1.0,1.0,0.9788732394366196,1.0,0.9957746478873238,Q5高,3,0,1.0,0.9788732394366197,1.0,0.7936619718309859,0.995774647887324
20230103,603757,3.5211267605633805,1.0,0.5,0.5,0.6666666666666666,0.3521400778210115,0.277237354085603,0.4560272529116203,high,L5-A,1.0,0.6666666666666666,0.6431924882629108,1.0,0.8286384976525821,Q5高,3,0,0.6666666666666666,0.9647887323943662,1.0,0.6894366197183099,0.9929577464788732
20230103,002756,3.636363636363636,1.0,1.0,1.0,1.0,0.2237093690248566,-0.073401317187168,-0.0795600307949788,high,L5-A,1.0,1.0,0.9636363636363636,1.0,0.9927272727272728,Q5高,3,0,1.0,0.9636363636363636,1.0,0.7890909090909091,0.9927272727272727
20230103,301071,3.6764705882352944,1.0,1.0,1.0,1.0,0.1390532544378699,-0.1907462195923733,-0.3369759614237352,high,L5-A,1.0,1.0,0.9632352941176472,1.0,0.9926470588235292,Q5高,3,0,1.0,0.9632352941176471,1.0,0.788970588235294,0.9926470588235294
20230103,603908,4.166666666666666,1.0,1.0,0.5,0.8333333333333334,0.0504885993485342,0.0374592833876221,-0.2185667752442995,high,L5-A,1.0,0.8333333333333334,0.7986111111111112,1.0,0.9097222222222222,Q5高,3,0,0.8333333333333334,0.9583333333333334,1.0,0.7375,0.9916666666666667
20230103,603613,4.545454545454546,1.0,1.0,0.5,0.8333333333333334,0.0646556504380613,-0.1266496617500278,-0.386828022462595,high,L5-A,1.0,0.8333333333333334,0.7954545454545455,1.0,0.9090909090909092,Q5高,3,0,0.8333333333333334,0.9545454545454546,1.0,0.7363636363636363,0.990909090909091
20230103,300401,5.025125628140704,1.0,1.0,1.0,1.0,0.0385144429160935,-0.0797799174690508,-0.1916622542003603,high,L5-A,1.0,1.0,0.949748743718593,1.0,0.9899497487437184,Q5高,3,0,1.0,0.949748743718593,1.0,0.7849246231155778,0.9899497487437185
20230103,301035,5.147058823529411,1.0,1.0,0.5,0.8333333333333334,-0.1062379275082376,-0.2319054652880353,-0.0816345876825723,high,L5-A,1.0,0.8333333333333334,0.7904411764705882,1.0,0.9080882352941176,Q5高,3,0,0.8333333333333334,0.9485294117647058,1.0,0.7345588235294118,0.9897058823529412
20230103,300337,5.454545454545454,1.0,1.0,0.5,0.8333333333333334,0.2111111111111112,-0.0518518518518518,-0.1716049382716048,high,L5-A,1.0,0.8333333333333334,0.7878787878787878,1.0,0.9075757575757576,Q5高,3,0,0.8333333333333334,0.9454545454545454,1.0,0.7336363636363636,0.989090909090909
20230103,000568,6.944444444444445,1.0,1.0,1.0,1.0,0.0846902574365504,0.1565996543254799,-0.0084599290457563,high,L5-A,1.0,1.0,0.9305555555555556,1.0,0.986111111111111,Q5高,3,0,1.0,0.9305555555555556,1.0,0.7791666666666666,0.9861111111111112
