code,day,state,rps_t0,rps_t1,state_t1,fwd6,fwd6_excess,R1_price,R2_state,R3_excess,year,ind,gate,cycle,health,regime
600348,20220505,L5-A,10.526315789473683,100.0,L3,0.6989129123377158,0.6756819073503747,True,True,True,2022,煤炭,YELLOW,STABLE,WARNING,OVERREACTION
600351,20220505,L5-A,57.06214689265536,59.04761904761905,L2,0.0061009433873251,-0.0807654234706924,True,True,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
600378,20220505,L5-A,66.66666666666666,36.18421052631579,L1,0.2700249413761726,0.1751715617139871,False,False,True,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
600399,20220505,L5-A,3.571428571428571,96.15384615384616,L3,0.3496608892238131,0.4493903784568489,True,True,True,2022,钢铁,YELLOW,STABLE,WARNING,OVERREACTION
600403,20220505,L5-A,57.89473684210527,23.809523809523807,L1,-0.0520573558189966,-0.0752883608063377,False,False,False,2022,煤炭,YELLOW,STABLE,WARNING,OVERREACTION
600516,20220505,L5-A,14.285714285714285,84.61538461538461,L3,-0.096774193548387,0.0029552956846488,True,True,False,2022,钢铁,YELLOW,STABLE,WARNING,OVERREACTION
600529,20220505,L5-B,3.389830508474576,74.28571428571429,L3,0.370600031731324,0.2837336648733065,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
600559,20220505,L5-A,64.0625,63.888888888888886,L2,0.0235926507612365,0.0411075415083155,True,True,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
600566,20220505,L5-A,64.40677966101694,19.52380952380953,L1,0.4009398530905281,0.3140734862325106,False,False,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
600587,20220505,L5-A,25.42372881355932,76.19047619047619,L3,0.4852647675626029,0.3983984007045854,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
600594,20220505,L5-A,39.548022598870055,55.27638190954774,L0,0.0881226053639847,0.0012562385059671,True,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
