l3_name,l1_name,median_rps,n_stocks,is_hot
其他电子Ⅲ,电子,62.8,15,True
化妆品制造及其他,美容护理,62.5,4,True
物业管理,房地产,62.5,3,True
门户网站,传媒,62.5,4,True
铜,有色金属,62.1,7,True
金属制品,机械设备,61.8,45,True
地面兵装Ⅲ,国防军工,61.8,5,True
保健品,食品饮料,61.6,2,True
铅锌,有色金属,61.4,6,True
半导体设备,电子,61.1,14,True
燃气Ⅲ,公用事业,60.8,10,True
中间产品及消费品供应链服务,交通运输,60.0,3,True
其他金属新材料,有色金属,59.8,6,True
能源及重型设备,机械设备,59.7,30,True
乳品,食品饮料,59.6,10,True
汽车电子电气系统,汽车,59.2,20,True
合成树脂,基础化工,59.2,7,True
钼,有色金属,59.1,1,True
资产管理,非银金融,58.8,2,True
其他计算机设备,计算机,58.7,35,True
粮油加工,农林牧渔,58.1,3,True
动物保健Ⅲ,农林牧渔,58.1,6,True
电子化学品Ⅲ,电子,57.8,23,True
环保设备Ⅲ,环保,57.6,13,True
铁矿石,钢铁,57.1,2,True
营销代理,传媒,57.1,9,True
冶钢辅料,钢铁,57.1,1,True
大宗用纸,轻工制造,57.0,3,True
调味发酵品Ⅲ,食品饮料,56.8,6,True
其他石化,石油石化,56.7,6,True
油田服务,石油石化,56.7,2,True
军工电子Ⅲ,国防军工,56.6,26,True
其他农产品加工,农林牧渔,56.5,4,True
电网自动化设备,电力设备,56.2,15,True
产业地产,房地产,56.2,2,True
通信工程及服务,通信,55.9,1,True
跨境电商,商贸零售,55.9,2,True
其他塑料制品,基础化工,55.8,12,True
锂电池,电力设备,55.4,12,True
彩电,家用电器,55.4,1,True
其他汽车零部件,汽车,55.4,32,True
洗护用品,美容护理,55.0,3,True
原料药,医药生物,54.7,25,True
电池化学品,电力设备,54.5,15,True
电商服务,商贸零售,54.4,6,True
无机盐,基础化工,54.4,6,True
学历教育,社会服务,54.3,1,True
城商行Ⅲ,银行,54.2,8,True
医药流通,医药生物,53.9,7,True
厨房小家电,家用电器,53.6,6,True
肉制品,食品饮料,53.4,1,True
其他酒类,食品饮料,53.4,4,True
逆变器,电力设备,53.4,7,True
基建市政工程,建筑装饰,53.3,3,True
工程咨询服务Ⅲ,建筑装饰,53.3,22,True
水泥制品,建筑材料,53.3,1,True
特种纸,轻工制造,53.2,5,True
磨具磨料,机械设备,52.6,7,True
医疗耗材,医药生物,52.5,38,True
垂直应用软件,计算机,52.1,44,True
钟表珠宝,纺织服饰,52.0,7,True
其他家居用品,轻工制造,51.9,13,True
通信线缆及配套,通信,51.7,4,True
果蔬加工,农林牧渔,51.6,2,True
贸易Ⅲ,商贸零售,51.5,4,True
航空运输,交通运输,51.4,3,True
定制家居,轻工制造,51.3,8,True
底盘与发动机系统,汽车,51.0,51,True
纸包装,轻工制造,50.6,7,True
其他自动化设备,机械设备,50.3,14,True
商业物业经营,商贸零售,50.0,6,True
楼宇设备,机械设备,49.8,8,True
医疗设备,医药生物,49.2,27,True
水务及水治理,环保,49.2,21,True
车身附件及饰件,汽车,49.0,22,True
光伏加工设备,电力设备,48.3,4,True
电视广播Ⅲ,传媒,48.2,5,True
线缆部件及其他,电力设备,48.0,14,True
有机硅,基础化工,47.8,6,True
农用机械,机械设备,47.7,5,True
制冷空调设备,机械设备,47.7,12,True
蓄电池及其他电池,电力设备,47.7,5,True
娱乐用品,轻工制造,47.5,12,True
其他专用设备,机械设备,47.1,43,True
消费电子零部件及组装,电子,46.8,51,True
纺织化学制品,基础化工,46.8,6,True
油气开采Ⅲ,石油石化,46.7,1,True
工程机械整机,机械设备,46.0,8,True
复合肥,基础化工,45.6,3,True
风电整机,电力设备,45.5,2,True
其他数字媒体,传媒,45.5,2,True
粮食种植,农林牧渔,45.2,1,True
零食,食品饮料,45.2,9,True
LED,电子,45.0,14,True
广告媒体,传媒,44.6,1,True
仪器仪表,机械设备,44.6,38,True
其他专业工程,建筑装饰,44.4,6,True
农药,基础化工,44.2,12,True
非运动服装,纺织服饰,44.0,15,True
光学元件,电子,43.9,20,True
卫浴电器,家用电器,43.8,2,True
氟化工,基础化工,43.7,5,True
通信终端及配件,通信,43.2,18,True
其他通信设备,通信,43.2,6,True
其他化学制品,基础化工,43.0,42,True
证券Ⅲ,非银金融,42.5,25,True
黄金,有色金属,42.4,7,True
炭黑,基础化工,41.7,3,True
配电设备,电力设备,41.5,13,True
航空装备Ⅲ,国防军工,41.2,27,True
电能综合服务,公用事业,40.5,2,True
人工景区,社会服务,40.0,1,True
磁性材料,有色金属,39.4,14,True
被动元件,电子,39.2,11,True
固废治理,环保,39.0,16,True
其他化学纤维,基础化工,38.8,4,True
成品家居,轻工制造,38.6,8,True
纺织服装设备,机械设备,38.3,6,True
数字芯片设计,电子,38.0,36,True
光伏发电,公用事业,37.8,1,True
汽车经销商,汽车,37.6,1,True
商业地产,房地产,37.5,2,True
IT服务Ⅲ,计算机,37.4,38,True
中药Ⅲ,医药生物,37.2,34,True
公交,交通运输,37.1,3,True
品牌消费电子,电子,36.9,7,True
水泥制造,建筑材料,36.7,2,True
轨交设备Ⅲ,机械设备,36.6,17,True
冰洗,家用电器,36.6,4,True
空调,家用电器,36.6,2,True
其他纺织,纺织服饰,36.0,9,True
横向通用软件,计算机,35.7,11,True
生猪养殖,农林牧渔,35.5,4,True
电机Ⅲ,电力设备,35.2,20,True
品牌化妆品,美容护理,35.0,5,True
模拟芯片设计,电子,35.0,24,True
大众出版,传媒,34.8,8,True
涂料油墨,基础化工,34.5,11,True
培训教育,社会服务,34.3,3,True
仓储物流,交通运输,34.3,3,True
线下药店,医药生物,34.1,1,True
集成电路封测,电子,33.9,9,True
啤酒,食品饮料,33.6,4,True
卫浴制品,轻工制造,33.5,4,True
钴,有色金属,33.3,2,True
耐火材料,建筑材料,33.3,3,True
化学工程,建筑装饰,33.3,3,True
其他电源设备Ⅲ,电力设备,32.7,12,True
其他运输设备,汽车,32.5,5,True
综合电商,商贸零售,32.4,1,True
面板,电子,32.2,16,True
清洁小家电,家用电器,32.1,5,True
工控设备,机械设备,31.7,20,True
机场,交通运输,31.4,3,True
自然景区,社会服务,31.4,7,True
焦煤,煤炭,31.2,2,True
国际工程,建筑装饰,31.1,1,True
电工仪器仪表,电力设备,30.7,9,True
管材,建筑材料,30.0,2,True
其他家电Ⅲ,家用电器,28.6,1,True
特钢Ⅲ,钢铁,28.6,3,True
其他化学原料,基础化工,28.4,6,True
风力发电,公用事业,28.4,4,True
教育出版,传媒,27.7,8,True
其他小金属,有色金属,26.5,6,True
专业连锁Ⅲ,商贸零售,26.5,4,True
多业态零售,商贸零售,26.5,5,True
医院,医药生物,26.0,5,True
铝,有色金属,25.8,9,True
钢结构,建筑装饰,25.6,2,True
体外诊断,医药生物,24.2,22,True
厨房电器,家用电器,24.1,2,True
辅料,纺织服饰,24.0,2,True
油气及炼化工程,石油石化,23.3,2,True
食品及饲料添加剂,基础化工,23.3,16,True
其他黑色家电,家用电器,23.2,5,True
水力发电,公用事业,23.0,6,True
餐饮,社会服务,22.9,3,True
航海装备Ⅲ,国防军工,22.8,6,True
影视动漫制作,传媒,22.3,2,True
疫苗,医药生物,21.9,8,True
轮胎轮毂,汽车,21.7,7,True
股份制银行Ⅲ,银行,20.8,2,True
电动乘用车,汽车,20.4,1,True
其他橡胶制品,基础化工,20.4,5,True
印刷,轻工制造,20.3,3,True
医美耗材,美容护理,20.0,2,True
肉鸡养殖,农林牧渔,19.4,4,True
白酒Ⅲ,食品饮料,18.5,16,True
通信应用增值服务,通信,17.8,6,True
文化用品,轻工制造,17.7,3,True
橡胶助剂,基础化工,17.5,1,True
机器人,机械设备,17.2,13,True
机床工具,机械设备,16.9,12,True
光伏辅材,电力设备,16.8,10,True
种子,农林牧渔,16.1,1,True
电信运营商,通信,15.3,1,True
会展服务,社会服务,14.3,1,False
诊断服务,医药生物,14.1,2,False
综合乘用车,汽车,13.4,2,False
高速公路,交通运输,11.4,5,False
其他医疗服务,医药生物,10.9,1,False
核力发电,公用事业,10.8,1,False
钛白粉,基础化工,9.2,1,False
汽车综合服务,汽车,8.0,2,False
金融控股,非银金融,7.5,3,False
商用载货车,汽车,6.4,3,False
人力资源服务,社会服务,4.3,2,False
纺织鞋类制造,纺织服饰,4.0,1,False
锦纶,基础化工,3.4,1,False
宠物食品,农林牧渔,3.2,1,False
血液制品,医药生物,2.7,1,False
