,nav
20220901,84594137.98613574
20220902,85563150.96208535
20220905,86305142.833109
20220906,88225570.15847775
20220907,88678107.38496432
20220908,88061839.07562654
20220909,87718897.39302684
20220913,87548592.08245352
20220914,86477627.6669452
20220915,83988821.6224954
20220916,82228817.33623333
20220919,81788862.65561202
20220920,83122999.70399834
20220921,83227952.46146233
20220922,83286116.5958207
20220923,81643125.75085135
20220926,81067975.55079238
20220927,82609264.39231391
20220928,80556257.36572994
20220929,80504888.88556363
20220930,79175125.03967643
20221010,77823701.72663578
20221011,78350927.67216219
20221012,79960140.09786695
20221013,80306670.80376075
20221014,81633189.13326874
20221017,82264834.7748099
20221018,82808671.23141213
20221019,82161719.51168337
20221020,81503974.38655427
20221021,82002565.149378
20221024,81057884.97252898
20221025,80810551.30187741
20221026,81935006.70593335
20221027,82045240.39270282
20221028,79354744.6809806
20221031,79534293.49188164
20221101,80673777.75462799
20221102,81564378.80242826
20221103,81539771.6951648
20221104,82712441.11335422
20221107,82972527.7899764
20221108,82795714.48007771
20221109,82858810.6612167
20221110,82341156.39956601
20221111,82580611.81630376
20221114,82784055.10461424
20221115,84075512.58773698
20221116,83753629.88011244
20221117,84297068.90783441
20221118,84317268.54445186
20221121,84968601.19089112
20221122,84296055.91310237
20221123,83818415.57943326
20221124,84389996.14337608
20221125,83985533.50095989
20221128,83624986.48448268
20221129,84821757.8561245
20221130,85122798.87173556
20221201,84944189.30763464
20221202,84967817.88115516
20221205,86050459.06968953
20221206,85347331.23883691
20221207,85255134.40332319
20221208,85037340.76986802
20221209,85491306.64332512
20221212,84790527.65750104
20221213,84026782.33495414
20221214,83573342.76572092
20221215,83720390.74518566
20221216,83186320.49678318
20221219,81481289.74544343
20221220,80989015.56923872
20221221,80497207.3354336
20221222,79458123.47828324
20221223,79105118.2766269
20221226,80060146.90887041
20221227,80612216.2978799
20221228,80027142.35844722
20221229,79822215.83923158
20221230,80187298.0704815
20230103,81352007.24436039
20230104,82068104.01931973
20230105,82395972.78814198
20230106,82121248.34187092
20230109,82658513.69081758
20230110,82803968.13310578
20230111,82760983.23140611
20230112,83140862.86831866
20230113,83703262.7063569
20230116,84060909.75586392
20230117,83771268.70115747
20230118,84060979.43323529
20230119,84467342.50952235
20230120,85336591.95255154
20230130,85714313.34740631
20230131,85820284.37095344
20230201,86864552.77140404
20230202,86975229.56252621
20230203,86526950.8141382
20230206,85799630.69361115
20230207,86307289.52167141
20230208,85830292.88135308
20230209,86819449.24364583
20230210,86607065.63741776
20230213,88254733.54211621
20230214,88430909.7621365
20230215,88254732.35070555
20230216,86544292.11458093
20230217,86336658.29092659
20230220,88829369.66789639
20230221,89492628.68596208
20230222,89285174.93575767
20230223,88982449.3206553
20230224,88391751.27350056
20230227,88033700.76076892
20230228,88592830.28690845
20230301,89478513.17086993
20230302,89936563.28910914
20230303,89371668.3377285
20230306,88844530.26049061
20230307,87031314.33191329
20230308,87572270.64188476
20230309,87133524.198162
20230310,85816126.85326928
20230313,87002186.50163694
20230314,85717830.36869368
20230315,85938108.65929443
20230316,84869663.42199235
20230317,85991332.68354201
20230320,85635739.0848145
20230321,87419547.21105172
20230322,88499936.47872195
20230323,89493920.16599128
20230324,89641450.92144008
20230327,89585060.56207624
20230328,88856124.04395609
20230329,88738374.7678052
20230330,88981535.35163987
20230331,90591551.55245899
20230403,92088325.69994986
20230404,92301775.8089693
20230406,92437524.74139868
20230407,93209454.39417091
20230410,91244701.41277373
20230411,91763330.21545397
20230412,93019265.57849768
20230413,91730685.4243679
20230414,92323890.62877831
20230417,92658117.50694014
20230418,92917069.66851543
20230419,92853899.37751332
20230420,94911048.0556356
20230421,91632502.05084103
20230424,91727926.27409881
20230425,90872373.44666484
20230426,89835589.30126625
20230427,89445757.8080707
20230428,92637390.7944268
20230504,93262403.68012758
20230505,92481954.84665354
20230508,93686909.38464904
20230509,91987969.08259043
20230510,91403320.34863363
20230511,91178725.51437144
20230512,89994580.8131447
20230515,90097869.25485136
20230516,89028665.6475658
20230517,89370130.13442808
20230518,90798266.26669529
20230519,90380021.25894392
20230522,90545601.67895436
20230523,89113005.47442272
20230524,88729371.02672894
20230525,88609663.8866938
20230526,90111589.26494257
20230529,90977922.82948156
20230530,92139596.07632485
20230531,92225334.67370786
20230601,92422455.89762099
20230602,92410903.22189945
20230605,93000870.14427707
20230606,91594804.69693841
20230607,92121137.03769045
20230608,92068260.82237315
20230609,92888758.53086089
20230612,93146232.13919163
20230613,93153866.68447356
20230614,93307141.4593389
20230615,93711611.60285929
20230616,94245482.9260667
20230619,93758143.74061167
20230620,93475152.04294777
20230621,92124783.74037631
20230626,90523648.70428339
20230627,92121810.26520653
20230628,92132766.98382606
20230629,93090791.66726448
20230630,93636996.69743139
20230703,93648676.5975379
20230704,93370147.45270827
20230705,92688697.90499403
20230706,92451481.34152077
20230707,92500151.01333262
20230710,92340168.2558329
20230711,92999679.43063137
20230712,92450056.71384895
20230713,93291581.05199073
20230714,93310992.49707514
20230717,93122634.9735082
20230718,92910828.79956116
20230719,93207102.28042737
20230720,92086537.1754592
20230721,91589065.53218998
20230724,92026870.9085355
20230725,93487144.8013753
20230726,92728882.56104255
20230727,92304649.98313181
20230728,93351172.20656335
20230731,93964055.82245345
20230801,93198110.97036757
20230802,93123979.30779856
20230803,93277610.61582032
20230804,93109712.48352543
20230807,92253293.65110083
20230808,91952108.55650194
20230809,91175491.5898493
20230810,91451441.27468885
20230811,90010820.48711196
20230814,90414702.43655446
20230815,90467401.7222217
20230816,89725767.53536575
20230817,91049608.69332728
20230818,89706781.00541575
20230821,88896245.38664226
20230822,89323306.63595833
20230823,88221361.66111028
20230824,88154554.28005904
20230825,86796673.45926301
20230828,87464456.04132752
20230829,90290428.57568972
20230830,90526016.71738163
20230831,89900005.67176598
20230901,90304965.54358056
20230904,91193377.52852677
20230905,90603807.66485076
20230906,90706362.64873391
20230907,89592577.42201802
20230908,89491158.84998204
20230911,90097093.64420797
20230912,89760981.73022126
20230913,89258431.35392469
20230914,89246477.01163574
20230915,89228867.17090027
20230918,89707808.32823393
20230919,89218371.79419428
20230920,88796200.28585885
20230921,88020268.80049023
20230922,89343275.07694626
20230925,89010147.04127805
20230926,88796280.46549784
20230927,89162697.67413194
20230928,89751398.20057376
20231009,89449565.20638351
20231010,88575984.6043874
20231011,88614358.12014803
20231012,89020020.61488365
20231013,88459090.04144414
20231016,88255448.50684175
20231017,88431420.09887438
20231018,87146696.63135912
20231019,86025562.97848131
20231020,85412747.33966382
20231023,83765480.45537274
20231024,85131920.32121734
20231025,85278760.73187071
20231026,85468114.39389904
20231027,86563537.82694641
20231030,86965368.28103068
20231031,86367198.10000505
20231101,86262665.04393667
20231102,85608875.20668726
20231103,86087612.93401274
20231106,87243395.36671679
20231107,87293345.1399691
20231108,87480930.00151692
20231109,86977588.45613314
20231110,87231233.7918717
20231113,87423519.85063174
20231114,87607969.89255673
20231115,88195289.63505341
20231116,87790401.44249275
20231117,88187023.55912255
20231120,88624422.40828726
20231121,87949048.32048033
20231122,87331801.9373885
20231123,88419446.19789709
20231124,87581834.4337333
20231127,87942576.6419078
20231128,88744626.60878329
20231129,88672731.10347804
20231130,88579379.8921708
20231201,88381249.53815971
20231204,88481259.47875105
20231205,87082788.46322408
20231206,87495738.2423638
20231207,87582481.27183674
20231208,87168276.23471329
20231211,88420714.1080821
20231212,88852237.12627399
20231213,88279419.43132202
20231214,88271261.82650293
20231215,87584916.75220789
20231218,86822703.78718941
20231219,86897215.99825116
20231220,86181163.66621742
20231221,86403167.24344136
20231222,85592599.25494854
20231225,85629845.51398852
20231226,84753220.48679736
20231227,85655770.03147493
20231228,86203871.10002239
20231229,87373045.00131181
20240102,87982234.44308399
20240103,88078396.5520466
20240104,88045555.1629917
20240105,87059824.5464208
20240108,86055546.17868556
20240109,86936282.78916195
20240110,86356809.16438861
20240111,87150982.73345715
20240112,86921720.95289719
20240115,87617640.9268757
20240116,87654408.78293376
20240117,86418734.74225277
20240118,85886040.50141364
20240119,85330987.6483944
20240122,81203046.15483433
20240123,82022715.87022571
20240124,83365965.11167756
20240125,85966041.70421416
20240126,86008230.1722792
20240129,84518880.86863996
20240130,82653195.40221523
20240131,81058017.12395245
20240201,79943503.51059112
20240202,78256817.06797218
20240205,75975024.29491413
20240206,79535499.02737859
20240207,81522674.84669632
20240208,83665247.78179498
20240219,84768531.38386786
20240220,85101885.48826829
20240221,85544428.32074504
20240222,86535863.71537353
20240223,86871074.99172945
20240226,86785822.34806167
20240227,88206308.3912597
20240228,86155258.64293309
20240229,88406163.47692403
20240301,88957439.2767977
20240304,89582634.52498378
20240305,89257897.18942663
20240306,89620571.5398985
20240307,89528405.08227651
20240308,90745988.55905226
20240311,91339420.6044622
20240312,90913369.95227614
20240313,90737674.451116
20240314,90512419.02959156
20240315,91182608.59953047
20240318,92238228.3941379
20240319,91542413.52904636
20240320,91674760.1721137
20240321,91308968.80009198
20240322,90279564.53088707
20240325,89705370.42315865
20240326,90101845.77315821
20240327,88921438.85955879
20240328,89813861.72892782
20240329,90738669.41848728
20240401,92134509.69763003
20240402,92306181.45639269
20240403,92538008.49917436
20240408,91551716.46907875
20240409,92064317.90525296
20240410,91132273.82713999
20240411,91919452.35154869
20240412,91726980.08140528
20240415,92820519.27071199
20240416,90557726.62531354
20240417,93436184.77088134
20240418,93439429.49527155
20240419,93671942.17980573
20240422,92983775.55985005
20240423,91596983.04136042
20240424,92631306.85365474
20240425,92386939.29196034
20240426,92761613.33132681
20240429,93640864.52458824
20240430,93451319.39614844
20240506,95276574.92906399
20240507,95079298.00371154
